Date,High,Low,Open,Close,Volume,Adj Close
1/1/2020,1169.50,1163.99,1166.52,1169.50,372988301.00,1169.50
1/2/2020,1169.27,1165.24,1168.63,1166.21,532211211.00,1166.21
1/5/2020,1187.33,1163.39,1166.49,1182.31,712425827.00,1182.31
1/6/2020,1200.69,1183.35,1183.35,1200.69,842582150.00,1200.69
1/7/2020,1218.14,1200.65,1200.65,1216.92,1102736748.00,1216.92
1/8/2020,1223.66,1207.26,1217.82,1209.60,732169261.00,1209.60
1/9/2020,1216.23,1206.49,1209.87,1213.11,837035757.00,1213.11
1/12/2020,1255.72,1213.19,1213.19,1255.72,1335747967.00,1255.72
1/13/2020,1285.50,1259.34,1260.01,1270.86,1665520000.00,1270.86
1/14/2020,1274.86,1254.30,1271.11,1263.38,1026443666.00,1263.38
1/15/2020,1287.20,1263.32,1263.32,1284.23,893677000.00,1284.23
1/16/2020,1313.19,1284.28,1284.28,1310.23,1682330000.00,1310.23
1/19/2020,1349.10,1310.26,1310.26,1343.65,2090877917.00,1343.65
1/20/2020,1359.32,1308.62,1342.70,1317.11,1953780000.00,1317.11
1/21/2020,1331.28,1309.14,1318.65,1320.47,1519976760.00,1320.47
1/22/2020,1325.69,1310.64,1324.32,1313.42,1581381364.00,1313.42
1/23/2020,1320.76,1295.80,1314.16,1297.47,1384209412.00,1297.47
1/26/2020,1299.46,1275.52,1298.67,1276.68,965018662.00,1276.68
1/27/2020,1300.62,1274.03,1276.68,1300.62,917359865.00,1300.62
1/28/2020,1316.44,1300.65,1300.65,1306.15,1400467805.00,1306.15
1/29/2020,1311.74,1302.14,1306.16,1305.88,1293711383.00,1305.88
1/30/2020,1331.83,1306.29,1306.29,1325.38,1966219749.00,1325.38
2/2/2020,1349.68,1331.87,1325.62,1346.64,2077987799.00,1346.64
2/3/2020,1355.27,1339.60,1348.12,1349.13,1611719203.00,1349.13
2/4/2020,1353.27,1334.09,1351.01,1337.04,1570166163.00,1337.04
2/5/2020,1342.62,1335.72,1338.50,1342.36,1082483909.00,1342.36
2/6/2020,1346.60,1331.02,1341.03,1333.69,1049345436.00,1333.69
2/9/2020,1333.85,1316.10,1332.91,1319.99,950402584.00,1319.99
2/10/2020,1329.84,1315.37,1320.77,1324.26,932086055.00,1324.26
2/11/2020,1342.91,1323.69,1324.31,1341.38,1532250440.00,1341.38
2/12/2020,1353.29,1340.87,1341.07,1345.97,1509784311.00,1345.97
2/13/2020,1354.88,1342.90,1346.45,1344.59,1773805746.00,1344.59
2/16/2020,1363.97,1344.73,1344.73,1363.97,1978108701.00,1363.97
2/17/2020,1403.21,1364.34,1364.34,1398.24,2687533442.00,1398.24
2/18/2020,1416.87,1387.68,1399.47,1400.01,2125977034.00,1400.01
2/19/2020,1406.25,1389.12,1399.29,1405.25,1628841389.00,1405.25
2/20/2020,1434.57,1405.51,1405.51,1434.57,2785004908.00,1434.57
2/23/2020,1509.92,1435.87,1435.87,1504.14,3608526354.00,1504.14
2/24/2020,1536.83,1499.04,1507.98,1502.18,3410516278.00,1502.18
2/25/2020,1544.07,1480.24,1504.80,1545.19,2992160524.00,1545.19
2/26/2020,1596.13,1548.32,1548.32,1596.13,4154883092.00,1596.13
2/27/2020,1635.51,1558.65,1598.81,1632.17,4460536251.00,1632.17
3/1/2020,1667.74,1591.36,1639.87,1591.36,4847437505.00,1591.36
3/2/2020,1593.50,1495.30,1593.08,1495.30,2154428215.00,1495.30
3/3/2020,1540.59,1439.53,1491.23,1509.67,3851622996.00,1509.67
3/4/2020,1513.43,1439.38,1511.41,1441.20,2908472603.00,1441.20
3/5/2020,1464.62,1408.82,1442.92,1435.70,2457093463.00,1435.70
3/10/2020,1436.66,1349.31,1435.86,1349.31,1076696300.00,1349.31
3/11/2020,1423.09,1349.86,1349.86,1423.09,2221081690.00,1423.09
3/12/2020,1430.77,1371.56,1424.60,1377.18,2206662182.00,1377.18
3/15/2020,1362.25,1310.71,1362.25,1313.04,2101417292.00,1313.04
3/16/2020,1334.12,1291.67,1312.69,1316.39,1615341877.00,1316.39
3/17/2020,1321.26,1266.44,1316.74,1272.06,1465184656.00,1272.06
3/18/2020,1286.46,1234.16,1272.10,1255.80,1184416878.00,1255.80
3/19/2020,1278.93,1223.04,1249.26,1269.30,1903142008.00,1269.30
3/22/2020,1275.42,1246.20,1269.08,1251.45,194642984.00,1251.45
5/12/2020,1250.95,1226.15,1250.95,1226.15,104372646.00,1226.15
5/13/2020,1225.68,1201.57,1225.68,1201.57,3613523.00,1201.57
6/29/2020,1200.64,1149.73,1197.09,1188.70,347771833.00,1188.70
6/30/2020,1260.75,1185.72,1187.25,1260.75,227212194.00,1260.75
7/1/2020,1336.52,1261.54,1261.54,1336.52,407352247.00,1336.52
7/2/2020,1362.35,1256.11,1351.89,1256.11,476654971.00,1256.11
7/5/2020,1280.93,1246.80,1256.18,1265.45,1033390231.00,1265.45
7/6/2020,1298.73,1259.94,1266.08,1298.73,927841329.00,1298.73
7/7/2020,1345.96,1299.72,1299.72,1336.66,1199041859.00,1336.66
7/8/2020,1343.59,1319.10,1338.54,1326.53,1078462141.00,1326.53
7/9/2020,1333.25,1312.01,1327.13,1331.27,908086197.00,1331.27
7/12/2020,1351.82,1331.31,1331.31,1340.29,1111090272.00,1340.29
7/13/2020,1352.69,1334.17,1342.59,1342.40,1088716118.00,1342.40
7/14/2020,1349.24,1340.66,1344.42,1347.44,994545109.00,1347.44
7/15/2020,1367.82,1347.88,1347.88,1362.34,1160491522.00,1362.34
7/16/2020,1395.82,1362.62,1364.24,1394.77,1041770867.00,1394.77
7/19/2020,1479.03,1408.51,1408.51,1479.03,62566293.00,1479.03
7/20/2020,1556.19,1460.15,1539.37,1464.94,2802233715.00,1464.94
7/21/2020,1479.30,1444.50,1472.19,1449.94,1872220447.00,1449.94
7/22/2020,1461.29,1429.65,1452.78,1432.44,1532511716.00,1432.44
7/23/2020,1440.32,1417.32,1434.08,1442.61,1327135218.00,1442.61
7/26/2020,1464.88,1444.77,1445.60,1465.10,1942679380.00,1465.10
7/27/2020,1475.20,1456.47,1467.89,1462.48,1793915286.00,1462.48
7/28/2020,1466.04,1449.86,1463.81,1454.89,1259751557.00,1454.89
7/29/2020,1452.07,1431.46,1452.07,1431.52,1687093091.00,1431.52
7/30/2020,1444.06,1421.07,1433.14,1439.06,1320266678.00,1439.06
8/2/2020,1441.26,1396.02,1441.26,1396.28,1841242332.00,1396.28
8/3/2020,1411.13,1384.86,1395.08,1403.86,1290252213.00,1403.86
8/5/2020,1403.88,1374.13,1403.88,1382.66,1189526408.00,1382.66
8/6/2020,1388.68,1365.66,1387.44,1381.37,920997056.00,1381.37
8/9/2020,1392.68,1363.22,1383.98,1392.68,977895525.00,1392.68
8/10/2020,1430.41,1394.34,1394.78,1430.41,1555518923.00,1430.41
8/11/2020,1441.31,1421.17,1433.35,1423.81,1271738914.00,1423.81
8/12/2020,1427.15,1413.55,1426.55,1425.32,951960208.00,1425.32
8/13/2020,1431.89,1407.43,1431.89,1408.79,1048911791.00,1408.79
8/16/2020,1407.85,1381.89,1407.85,1391.46,1259320850.00,1391.46
8/17/2020,1402.21,1385.70,1391.79,1402.21,1074932597.00,1402.21
8/18/2020,1414.29,1400.81,1403.98,1407.89,1239017426.00,1407.89
8/19/2020,1409.44,1388.17,1409.44,1391.29,976235059.00,1391.29
8/20/2020,1403.75,1392.89,1392.89,1397.57,393129068.00,1397.57
